x,y
0.000199069,0.25
0.000193961,0.5
0.00018349,0.75
0.000172869,1
0.000162249,1.25
0.000151628,1.5
0.000141008,1.75
0.000130387,2
0.000119767,2.25
0.000109146,2.5
9.85255e-05,2.75
8.79049e-05,3
7.72843e-05,3.25
6.66638e-05,3.5
5.60432e-05,3.75
4.54227e-05,4
3.48021e-05,4.25
2.41816e-05,4.5
1.3561e-05,4.75
2.94046e-06,5
-7.68009e-06,5.25
-1.83006e-05,5.5
-2.89212e-05,5.75
-3.95418e-05,6
-5.01623e-05,6.25
-6.07829e-05,6.5
-7.14332e-05,6.75
-8.20836e-05,7
-9.27339e-05,7.25
-0.000103354,7.5
-0.000113975,7.75
-0.000124596,8
-0.000135246,8.25
-0.000145896,8.5
-0.000156547,8.75
-0.000167167,9
-0.000177788,9.25
-0.000188408,9.5
0.249734,9.50625
0.499734,9.50625
0.749733,9.50609
0.999733,9.50592
1.24973,9.50576
1.49973,9.50559
1.74973,9.50543
1.99973,9.50526
2.24973,9.5051
2.49973,9.50494
2.74973,9.50477
2.99973,9.50461
3.24973,9.50444
3.49973,9.50428
3.74973,9.50411
3.99973,9.50395
4.24973,9.50378
4.49973,9.50362
4.74973,9.50346
4.99973,9.50329
5.24973,9.50313
5.49973,9.50296
5.74973,9.5028
5.99973,9.50263
6.24973,9.50247
6.49973,9.5023
6.74973,9.50214
6.99973,9.50197
7.24973,9.50181
7.49973,9.50165
7.74973,9.50148
7.99973,9.50132
8.24973,9.50115
8.49973,9.50099
8.74973,9.50082
8.99973,9.50066
9.24973,9.50049
9.49973,9.50033
9.74973,9.50016
9.99973,9.5
9.99973,9.25
9.99349,9.00008
9.98708,8.75016
9.98067,8.50024
9.97426,8.25032
9.96785,8.00041
9.96144,7.75049
9.95503,7.50057
9.94862,7.25065
9.94221,7.00073
9.9358,6.75082
9.92939,6.5009
9.92298,6.25098
9.91656,6.00106
9.91015,5.75114
9.90374,5.50123
9.89733,5.25131
9.89092,5.00139
9.88451,4.75147
9.8781,4.50155
9.87169,4.25164
9.86528,4.00172
9.85887,3.7518
9.85246,3.50188
9.84605,3.25197
9.83964,3.00205
9.83323,2.75213
9.82682,2.50221
9.82041,2.25229
9.814,2.00238
9.80758,1.75246
9.80117,1.50254
9.79476,1.25262
9.78835,1.00271
9.78194,0.752788
9.77553,0.50287
9.76912,0.252952
9.76271,0.00303437
9.7563,-0.246883
9.74989,-0.496801
9.57316,-0.67363
9.39208,-0.845992
9.21083,-1.01818
9.02958,-1.19037
8.84833,-1.36255
8.66708,-1.53474
8.48582,-1.70692
8.30457,-1.8791
8.12332,-2.05129
7.94206,-2.22347
7.76081,-2.39566
7.57956,-2.56784
7.39831,-2.74003
7.21705,-2.91221
7.0358,-3.08439
6.85455,-3.25658
6.67329,-3.42876
6.49204,-3.60095
6.31079,-3.77313
6.12954,-3.94532
5.94828,-4.1175
5.76703,-4.28968
5.58578,-4.46187
5.40452,-4.63405
5.22327,-4.80624
5.04202,-4.97842
4.86076,-5.1506
4.68042,-4.97747
4.50631,-4.79806
4.33243,-4.61844
4.15856,-4.4388
3.98469,-4.25916
3.81082,-4.07953
3.63695,-3.89989
3.46308,-3.72026
3.28921,-3.54062
3.11534,-3.36098
2.94147,-3.18135
2.7676,-3.00171
2.59373,-2.82208
2.41986,-2.64244
2.24599,-2.4628
2.07212,-2.28317
1.89825,-2.10353
1.72438,-1.9239
1.55051,-1.74426
1.37664,-1.56462
1.20277,-1.38499
1.0289,-1.20535
0.855026,-1.02571
0.681155,-0.846079
0.507285,-0.666443
0.333415,-0.486807
0.159545,-0.30717
