x,y
0.0162506,-0.168131
-0.022399,0.31159
-0.090307,0.502213
0.0131224,0.731533
-0.00911101,0.991856
0.0273085,1.26829
0.0372988,1.45246
-0.0285401,1.80196
-0.0341731,2.03389
-0.140089,2.2495
-0.0555613,2.47814
-0.0492247,2.73528
-0.162106,2.89172
-0.0206773,3.11224
-0.0294433,3.53015
-0.0460303,3.66787
-0.0722467,3.89654
0.023724,4.34716
-0.00872721,4.5806
0.0295362,4.77838
-0.00451162,4.91058
-0.00751419,5.10771
-0.0092832,5.54477
-0.018455,5.77434
-0.0156741,6.00127
-0.00476449,6.26433
-0.0901674,6.56215
0.015459,6.75078
0.0283359,7.02163
-0.0258593,7.26587
-0.0460396,7.51738
0.0129992,7.72967
-0.0533822,7.99914
-0.00662999,8.4474
-0.113801,8.52552
-0.0252377,8.81445
0.0911412,8.93142
-0.0011225,9.16878
0.0579613,9.41463
0.0869212,9.80104
-0.0493838,10.0762
0.290968,9.94422
0.469807,9.98001
0.705962,9.95684
0.97583,10.0952
1.18999,10.1116
1.44636,10.0572
1.80627,9.91886
1.9151,10.0259
2.25366,9.94867
2.46449,10.0181
2.89445,9.92736
3.03956,10.0653
3.29784,10.0481
3.58263,9.9198
3.78077,10.0189
3.99855,9.95652
4.23672,9.9474
4.44048,10.0175
4.82756,9.92682
4.96434,9.99542
5.25789,10.0645
5.46195,9.94882
5.87141,9.88605
5.9279,10.0084
6.15905,9.87103
6.69401,10.1266
6.67443,9.96176
7.01356,9.91511
7.15736,10.1075
7.56106,9.89851
7.78049,10.0903
7.94637,9.97216
8.26118,9.93223
8.48928,9.97845
8.80911,9.8983
9.08397,9.92984
9.28634,9.99566
9.4953,9.9505
9.80722,9.93073
9.8613,10.031
10.2226,9.95603
10.2135,9.71753
10.2139,9.45067
10.2604,9.07146
10.214,9.20791
10.194,8.78883
10.1727,8.46156
10.3212,8.2602
10.1865,7.99021
10.2691,7.74247
10.2146,7.39836
10.1831,7.21537
10.1769,7.07002
10.161,6.73987
10.2372,6.52234
10.0612,6.24047
10.2091,6.04253
10.0135,5.81839
10.0702,5.5024
10.1307,5.25849
10.0639,4.97647
10.1768,4.63852
10.1158,4.4679
10.1465,4.06251
10.1785,4.05788
10.1811,3.79661
10.0748,3.5145
10.0957,3.24998
9.97659,2.99753
9.98213,2.8199
10.1116,2.55219
10.0226,2.21952
10.1707,2.11887
10.1129,1.60715
10.068,1.44625
10.0855,1.28479
9.92435,0.945555
10.0906,0.817024
9.94646,0.63047
9.93303,0.295535
9.97478,-0.0269435
9.84374,-0.128102
9.64852,-0.373902
9.64999,-0.605405
9.48889,-0.757087
9.43244,-1.09782
9.14883,-1.19992
8.88483,-1.3059
8.72346,-1.588
8.55968,-1.64688
8.3503,-1.88879
8.37463,-2.07798
8.06042,-2.08482
7.88784,-2.35715
7.67086,-2.53757
7.45891,-2.79493
7.27537,-2.77098
6.97661,-3.00642
6.85327,-3.22078
6.75392,-3.45017
6.6494,-3.52439
6.44685,-3.7336
6.11411,-4.01764
5.95826,-3.99339
5.81385,-4.26565
5.66299,-4.32161
5.50625,-4.59648
5.29552,-4.8314
5.10334,-4.90284
4.92379,-5.18962
4.7416,-4.99662
4.54887,-4.77479
4.42682,-4.48215
4.07131,-4.34741
4.02944,-4.24394
3.80973,-4.09342
3.61817,-3.83749
3.54077,-3.71554
3.43014,-3.42226
3.24344,-3.36636
3.06187,-3.09749
2.90183,-2.97773
2.78167,-2.76965
2.40544,-2.36148
2.17365,-2.29042
2.15303,-2.24637
1.81761,-2.0771
1.75358,-1.87407
1.62542,-1.72892
1.38364,-1.48245
1.29058,-1.23719
1.13176,-1.11716
0.92698,-1.00257
0.860184,-0.733935
0.560666,-0.441784
0.36719,-0.32469
0.0535151,-0.121096
