x,y
0,0
0.000199069,0.25
0.000398137,0.5
0.00039303,0.75
0.000382559,1
0.000371938,1.25
0.000361317,1.5
0.000350697,1.75
0.000340076,2
0.000329456,2.25
0.000318835,2.5
0.000308215,2.75
0.000297594,3
0.000286974,3.25
0.000276353,3.5
0.000265733,3.75
0.000255112,4
0.000244491,4.25
0.000233871,4.5
0.00022325,4.75
0.00021263,5
0.000202009,5.25
0.000191389,5.5
0.000180768,5.75
0.000170148,6
0.000159527,6.25
0.000148906,6.5
0.000138286,6.75
0.000127636,7
0.000116985,7.25
0.000106335,7.5
9.57143e-05,7.75
8.50937e-05,8
7.44732e-05,8.25
6.38228e-05,8.5
5.31725e-05,8.75
4.25221e-05,9
3.19016e-05,9.25
2.1281e-05,9.5
1.06604e-05,9.75
3.98886e-08,10
0.249922,10.0062
0.499922,10.0062
0.749922,10.0061
0.999922,10.0059
1.24992,10.0058
1.49992,10.0056
1.74992,10.0054
1.99992,10.0053
2.24992,10.0051
2.49992,10.0049
2.74992,10.0048
2.99992,10.0046
3.24992,10.0044
3.49992,10.0043
3.74992,10.0041
3.99992,10.0039
4.24992,10.0038
4.49992,10.0036
4.74992,10.0035
4.99992,10.0033
5.24992,10.0031
5.49992,10.003
5.74992,10.0028
5.99992,10.0026
6.24992,10.0025
6.49992,10.0023
6.74992,10.0021
6.99992,10.002
7.24992,10.0018
7.49992,10.0016
7.74992,10.0015
7.99992,10.0013
8.24992,10.0012
8.49992,10.001
8.74992,10.0008
8.99992,10.0007
9.24992,10.0005
9.49992,10.0003
9.74992,10.0002
9.99992,10
10.2499,9.99984
10.2499,9.74984
10.2437,9.49991
10.2373,9.25
10.2309,9.00008
10.2245,8.75016
10.218,8.50024
10.2116,8.25032
10.2052,8.00041
10.1988,7.75049
10.1924,7.50057
10.186,7.25065
10.1796,7.00073
10.1732,6.75082
10.1668,6.5009
10.1603,6.25098
10.1539,6.00106
10.1475,5.75114
10.1411,5.50123
10.1347,5.25131
10.1283,5.00139
10.1219,4.75147
10.1155,4.50155
10.1091,4.25164
10.1026,4.00172
10.0962,3.7518
10.0898,3.50188
10.0834,3.25197
10.077,3.00205
10.0706,2.75213
10.0642,2.50221
10.0578,2.25229
10.0514,2.00238
10.045,1.75246
10.0385,1.50254
10.0321,1.25262
10.0257,1.00271
10.0193,0.752788
10.0129,0.50287
10.0065,0.252952
10.0001,0.00303438
9.99367,-0.246883
9.81694,-0.423712
9.63586,-0.596074
9.45461,-0.768265
9.27336,-0.940449
9.09211,-1.11263
8.91085,-1.28482
8.7296,-1.457
8.54835,-1.62919
8.3671,-1.80137
8.18584,-1.97355
8.00459,-2.14574
7.82334,-2.31792
7.64209,-2.49011
7.46083,-2.66229
7.27958,-2.83448
7.09833,-3.00666
6.91707,-3.17884
6.73582,-3.35103
6.55457,-3.52321
6.37332,-3.6954
6.19206,-3.86758
6.01081,-4.03977
5.82956,-4.21195
5.6483,-4.38413
5.46705,-4.55632
5.2858,-4.7285
5.10454,-4.90069
4.92329,-5.07287
4.74295,-4.89973
4.56884,-4.72033
4.39496,-4.5407
4.22109,-4.36107
4.04722,-4.18143
3.87335,-4.00179
3.69948,-3.82216
3.52561,-3.64252
3.35174,-3.46289
3.17787,-3.28325
3.004,-3.10361
2.83013,-2.92398
2.65626,-2.74434
2.48239,-2.56471
2.30852,-2.38507
2.13464,-2.20543
1.96077,-2.0258
1.7869,-1.84616
1.61303,-1.66653
1.43916,-1.48689
1.26529,-1.30725
1.09142,-1.12762
0.917553,-0.947981
0.743683,-0.768345
0.569813,-0.588709
0.395942,-0.409073
0.222072,-0.229436
